author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430873/,Балашиха,sale,flat,12,17,1,36.4,6027360.0,, Поликахина,2,Лухмановская,Центр-2
Этажи Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/308583683/,Балашиха,sale,flat,19,20,2,68.8,12000000.0,,шоссе Косинское,5/7,Ольгино,Новоград Павлино
Самолет,developer,https://balashikha.cian.ru/sale/flat/308722035/,Балашиха,sale,flat,20,22,1,33.9,6089457.0,,,к6,Некрасовка,Новоград Павлино
ID 118582271,homeowner,https://balashikha.cian.ru/sale/flat/308939146/,Балашиха,sale,flat,10,17,2,52.2,9890000.0,, Свердлова,50,Щёлковская,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430769/,Балашиха,sale,flat,12,17,2,57.8,8556280.0,, Поликахина,2,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/301385242/,Балашиха,sale,flat,5,10,2,66.0,9249000.0,, Карбышева,1,Кучино,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430713/,Балашиха,sale,flat,12,17,1,37.3,6108630.0,,проспект Героев,12,Лухмановская,Центр-2
Этажи Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/307869945/,Балашиха,sale,flat,19,25,1,36.3,5300000.0,, Яганова,9,Щёлковская,Пехра
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/296483363/,Балашиха,sale,flat,17,17,1,31.7,6498500.0,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ID 16079413,homeowner,https://balashikha.cian.ru/sale/flat/306373203/,Балашиха,sale,flat,11,17,2,64.0,9549000.0,,проспект Ленина,74,Салтыковская,Жемчужина Виктории
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430932/,Балашиха,sale,flat,2,17,1,36.7,6304370.0,, Поликахина,2,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/303023571/,Балашиха,sale,flat,4,5,1,30.3,3899000.0,,шоссе Энтузиастов,57,Салтыковская,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430905/,Балашиха,sale,flat,12,17,2,51.6,8079760.0,, Поликахина,2,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/306785132/,Балашиха,sale,flat,3,20,1,47.3,6499999.0,, Чистопольская,28,Щёлковская,Эдельвейс-Комфорт
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/299327338/,Балашиха,sale,flat,4,17,2,53.6,10237600.0,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
Иван Музалевский,realtor,https://balashikha.cian.ru/sale/flat/301875482/,Балашиха,sale,flat,7,16,1,42.3,7250000.0,, Юбилейная,4к5,Железнодорожная,
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/289976892/,Балашиха,sale,flat,10,17,2,52.7,10171100.0,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/304384217/,Балашиха,sale,flat,14,17,1,45.3,7349000.0,, Твардовского,26,Кучино,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651000/,Балашиха,sale,flat,11,22,1,32.82,5971181.0,,,,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/296593320/,Балашиха,sale,flat,20,24,2,59.5,9678000.0,, Разина,1А,Салтыковская,28 микрорайон
Абсолют Недвижимость,representative_developer,https://balashikha.cian.ru/sale/flat/304783370/,Балашиха,sale,flat,19,22,1,33.62,5856558.0,,,к6,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/304043218/,Балашиха,sale,flat,10,24,2,69.8,10550000.0,, Разина,1А,Салтыковская,28 микрорайон
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651070/,Балашиха,sale,flat,20,22,1,34.3,6476989.0,, Бояринова,30,Ольгино,Новоград Павлино
NEWдвижимость Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/307628408/,Балашиха,sale,flat,8,20,2,71.3,11699000.0,, Соловьева,1,Кучино,Леоновский парк
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430970/,Балашиха,sale,flat,16,17,2,49.8,8396380.0,, Поликахина,2,Лухмановская,Центр-2
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/306496312/,Балашиха,sale,flat,14,24,1,41.3,7100000.0,, Разина,1А,Салтыковская,28 микрорайон
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650832/,Балашиха,sale,flat,8,22,1,46.96,7154450.0,,,к8,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/296593080/,Балашиха,sale,flat,3,24,1,46.8,7773000.0,, Разина,1А,Салтыковская,28 микрорайон
ID 10606565,realtor,https://balashikha.cian.ru/sale/flat/306447400/,Балашиха,sale,flat,2,9,1,30.0,3780000.0,, 40 лет Победы,9,Салтыковская,
Елена Хмура,realtor,https://balashikha.cian.ru/sale/flat/189120598/,Балашиха,sale,flat,12,16,1,34.2,5150000.0,,,16,Щёлковская,
Ваши Соседи Торги,real_estate_agent,https://balashikha.cian.ru/sale/flat/308061962/,Балашиха,sale,flat,3,6,1,36.9,4428000.0,,Школьная ,25,Салтыковская,Квартал Европа
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/306840853/,Балашиха,sale,flat,2,4,2,55.0,5500000.0,,Институтская ,22А,Кучино,
do A.S.A.P.,real_estate_agent,https://balashikha.cian.ru/sale/flat/308184164/,Балашиха,sale,flat,13,14,2,67.0,11950000.0,, Евстафьева,9,Салтыковская,
Владимир Тарасов,realtor,https://balashikha.cian.ru/sale/flat/304552588/,Балашиха,sale,flat,3,17,1,44.0,5500000.0,, Свердлова,46,Щёлковская,
Абсолют Недвижимость,representative_developer,https://balashikha.cian.ru/sale/flat/304783293/,Балашиха,sale,flat,18,22,2,36.9,6169013.0,,,к6,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/306497146/,Балашиха,sale,flat,23,24,2,69.8,10550000.0,, Разина,1А,Салтыковская,28 микрорайон
ОГРК,real_estate_agent,https://balashikha.cian.ru/sale/flat/308630850/,Балашиха,sale,flat,10,12,2,40.0,4699000.0,, 1 Мая,2,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650834/,Балашиха,sale,flat,20,22,1,42.89,7243778.0,,,к8,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,https://balashikha.cian.ru/sale/flat/293359797/,Балашиха,sale,flat,3,17,2,57.4,8543160.0,,проспект Героев,12,Железнодорожная,
Анна Панасенко,realtor,https://balashikha.cian.ru/sale/flat/306140553/,Балашиха,sale,flat,7,9,1,34.2,5200000.0,, Маяковского,2,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650802/,Балашиха,sale,flat,17,22,2,54.66,10221467.0,,,к8,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/296594731/,Балашиха,sale,flat,13,24,1,41.4,7100000.0,, Разина,1А,Салтыковская,28 микрорайон
PROнедвижимость,real_estate_agent,https://balashikha.cian.ru/sale/flat/308335308/,Балашиха,sale,flat,4,14,1,37.3,5400000.0,,Московский бульвар,2,Салтыковская,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430719/,Балашиха,sale,flat,16,17,2,57.7,8587680.0,,проспект Героев,12,Лухмановская,Центр-2
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/307542183/,Балашиха,sale,flat,1,5,2,41.0,5700000.0,, Береговая,1,Кучино,
Юникор Недвижимость,real_estate_agent,https://balashikha.cian.ru/sale/flat/304819052/,Балашиха,sale,flat,7,11,1,16.6,3600000.0,,проспект Ленина,36,Салтыковская,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430957/,Балашиха,sale,flat,16,17,2,56.9,9220040.0,, Поликахина,2,Лухмановская,Центр-2
do A.S.A.P.,real_estate_agent,https://balashikha.cian.ru/sale/flat/302082444/,Балашиха,sale,flat,2,27,2,52.0,11000000.0,, Некрасова,11Б,Кучино,Новое Измайлово-2
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651172/,Балашиха,sale,flat,21,22,2,54.66,9940230.0,,,к6,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,https://balashikha.cian.ru/sale/flat/292282337/,Балашиха,sale,flat,11,17,2,64.4,9524000.0,,проспект Героев,12,Новокосино,
Квартирный вопрос,real_estate_agent,https://balashikha.cian.ru/sale/flat/308834636/,Балашиха,sale,flat,12,12,1,37.5,5750000.0,,,40,Никольское,
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/292585532/,Балашиха,sale,flat,14,17,1,30.0,6210000.0,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
СТРОЙИНВЕСТ,real_estate_agent,https://balashikha.cian.ru/sale/flat/293359468/,Балашиха,sale,flat,3,17,2,55.5,8427700.0,,проспект Героев,12,Железнодорожная,
Виктор Орешков,realtor,https://balashikha.cian.ru/sale/flat/300113167/,Балашиха,sale,flat,6,9,2,34.0,5495000.0,, Маяковского,20,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308722144/,Балашиха,sale,flat,20,22,1,36.61,6334409.0,,,к7,Некрасовка,Новоград Павлино
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://balashikha.cian.ru/sale/flat/308854190/,Балашиха,sale,flat,14,15,2,53.1,10300000.0,,Солнечная ,22,Салтыковская,
Наталья Лакина,realtor,https://balashikha.cian.ru/sale/flat/197283937/,Балашиха,sale,flat,17,18,1,37.0,4700000.0,, Лукино,51А,Щёлковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308661820/,Балашиха,sale,flat,2,24,1,47.96,7088719.0,,,,Салтыковская,Квартал Авиаторов ЖК
На Петровке,real_estate_agent,https://balashikha.cian.ru/sale/flat/307922995/,Балашиха,sale,flat,16,17,1,43.7,6500000.0,, Шестая,17,Ольгино,Ольгино Парк
Юникор Недвижимость,real_estate_agent,https://balashikha.cian.ru/sale/flat/307713593/,Балашиха,sale,flat,11,13,1,34.1,4900000.0,,проспект Ленина,30,Салтыковская,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430819/,Балашиха,sale,flat,4,17,2,56.3,8211020.0,, Поликахина,2,Лухмановская,Центр-2
ФСК Агент,real_estate_agent,https://balashikha.cian.ru/sale/flat/306904684/,Балашиха,sale,flat,4,17,2,63.1,8000000.0,, Корнилаева,20,Железнодорожная,
Челофт,real_estate_agent,https://balashikha.cian.ru/sale/flat/306480536/,Балашиха,sale,flat,18,21,1,40.2,5700000.0,, Граничная,38,Ольгино,
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/292441684/,Балашиха,sale,flat,3,17,1,32.1,6420000.0,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
ФСК Агент,real_estate_agent,https://balashikha.cian.ru/sale/flat/305677566/,Балашиха,sale,flat,4,17,2,63.7,7505700.0,, Лесопарковая,18,Железнодорожная,
Виталий Русаков,realtor,https://balashikha.cian.ru/sale/flat/297745504/,Балашиха,sale,flat,6,19,1,37.0,5150000.0,, Троицкая,4,Ольгино,Новое Павлино
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/297937724/,Балашиха,sale,flat,10,17,1,35.2,7110400.0,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ID 12965146,unknown,https://balashikha.cian.ru/sale/flat/301081944/,Балашиха,sale,flat,16,16,2,54.0,7450000.0,,,16,Щёлковская,
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/308696769/,Балашиха,sale,flat,2,5,1,30.2,4500000.0,,шоссе Энтузиастов,73,Салтыковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308661946/,Балашиха,sale,flat,15,17,1,36.69,7952907.0,,,к8,Щёлковская,Квартал Авиаторов ЖК
ОГРК,real_estate_agent,https://balashikha.cian.ru/sale/flat/304577496/,Балашиха,sale,flat,15,19,1,42.5,5950000.0,, Троицкая,2,Ольгино,Новое Павлино
ID 123349796,homeowner,https://balashikha.cian.ru/sale/flat/308644572/,Балашиха,sale,flat,4,19,1,45.9,6500000.0,,Московский проезд,13,Салтыковская,"Балашиха, мкр. 25"
Абсолют Недвижимость,representative_developer,https://balashikha.cian.ru/sale/flat/304783418/,Балашиха,sale,flat,19,22,2,37.1,6345827.0,,,к7,Некрасовка,Новоград Павлино
ФСК Агент,real_estate_agent,https://balashikha.cian.ru/sale/flat/305675720/,Балашиха,sale,flat,2,18,2,60.0,8240000.0,,Зеленая ,33,Никольское,Жемчужина Балашихи
Олеся Власкина,realtor,https://balashikha.cian.ru/sale/flat/302363437/,Балашиха,sale,flat,7,9,1,38.0,5200000.0,, Карла Маркса,16а,Салтыковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651131/,Балашиха,sale,flat,19,22,1,37.2,6538393.0,, Бояринова,36,Ольгино,Новоград Павлино
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/304035265/,Балашиха,sale,flat,8,17,1,35.0,7017500.0,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
СТРОЙИНВЕСТ,real_estate_agent,https://balashikha.cian.ru/sale/flat/292281913/,Балашиха,sale,flat,11,17,1,37.2,6092320.0,,проспект Героев,12,Новокосино,
Абсолют Недвижимость,representative_developer,https://balashikha.cian.ru/sale/flat/304783364/,Балашиха,sale,flat,19,22,2,54.66,9900713.0,,,к6,Некрасовка,Новоград Павлино
ID 118851029,homeowner,https://balashikha.cian.ru/sale/flat/307529575/,Балашиха,sale,flat,4,12,1,41.5,6199000.0,, Московская,1,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650761/,Балашиха,sale,flat,6,22,2,46.73,8883887.0,,,к7,Некрасовка,Новоград Павлино
ID 110201293,homeowner,https://balashikha.cian.ru/sale/flat/308517355/,Балашиха,sale,flat,18,25,1,37.2,6200000.0,, Дмитриева,30,Щёлковская,Алексеевская роща
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430996/,Балашиха,sale,flat,17,17,2,67.1,9640430.0,, Поликахина,2,Лухмановская,Центр-2
ID 10716353,homeowner,https://balashikha.cian.ru/sale/flat/305834032/,Балашиха,sale,flat,20,25,1,32.1,6400000.0,, Яганова,9,Щёлковская,Пехра
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651176/,Балашиха,sale,flat,9,22,2,46.79,8951348.0,,,к6,Некрасовка,Новоград Павлино
Самолет,developer,https://balashikha.cian.ru/sale/flat/308661913/,Балашиха,sale,flat,11,17,2,62.73,12308590.0,,,к8,Щёлковская,Квартал Авиаторов ЖК
Людмила Горбачева,realtor,https://balashikha.cian.ru/sale/flat/305384228/,Балашиха,sale,flat,5,5,2,44.5,6500000.0,, Юлиуса Фучика,2к1,Кучино,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430692/,Балашиха,sale,flat,11,17,2,64.4,9524000.0,,проспект Героев,12,Лухмановская,Центр-2
Самолет Плюс Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/308445568/,Балашиха,sale,flat,6,14,1,37.7,6600000.0,,бульвар Спасский,7,Железнодорожная,Столичный
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651306/,Балашиха,sale,flat,14,17,2,55.47,11596429.0,,,к8,Щёлковская,Квартал Авиаторов ЖК
ID 91586118,homeowner,https://balashikha.cian.ru/sale/flat/307721899/,Балашиха,sale,flat,5,17,1,37.1,6680000.0,, Кольцевая,14,Щёлковская,Щитниково Янтарный
Самолет,developer,https://balashikha.cian.ru/sale/flat/308661930/,Балашиха,sale,flat,14,17,2,53.1,10671184.0,,,к8,Щёлковская,Квартал Авиаторов ЖК
Наталья Сказка,realtor,https://balashikha.cian.ru/sale/flat/308713395/,Балашиха,sale,flat,17,17,1,35.0,6695000.0,, Колдунова,10,Щёлковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650915/,Балашиха,sale,flat,21,22,2,42.71,8904363.0,,,,Некрасовка,Новоград Павлино
ID 6757546,homeowner,https://balashikha.cian.ru/sale/flat/307054254/,Балашиха,sale,flat,2,9,2,52.3,6700000.0,,шоссе Энтузиастов,76,Кучино,
ПИК,developer,https://balashikha.cian.ru/sale/flat/307419388/,Балашиха,sale,flat,2,15,1,39.3,9586802.0,, Реутовская,12,Первомайская,Измайловский лес
Самолет Плюс Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/308614059/,Балашиха,sale,flat,5,9,1,30.0,6650000.0,,проспект Ленина,31,Салтыковская,
ПИК,developer,https://balashikha.cian.ru/sale/flat/307330283/,Балашиха,sale,flat,19,23,1,36.2,9194184.0,, Реутовская,3,Реутов,Измайловский лес
ID 112062592,realtor,https://balashikha.cian.ru/sale/flat/307500582/,Балашиха,sale,flat,4,17,1,37.7,6900000.0,, Кольцевая,18,Щёлковская,Щитниково Янтарный
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651195/,Балашиха,sale,flat,11,22,1,46.97,7265942.0,,,к6,Некрасовка,Новоград Павлино
Гранд Сервис Недвижимость,real_estate_agent,https://balashikha.cian.ru/sale/flat/306248751/,Балашиха,sale,flat,2,14,1,38.0,6999000.0,,бульвар Молодежный,5/3,Щёлковская,Щитниково Янтарный
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651120/,Балашиха,sale,flat,15,22,1,34.8,6948369.0,, Бояринова,36,Ольгино,Новоград Павлино
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://balashikha.cian.ru/sale/flat/308068494/,Балашиха,sale,flat,10,22,1,34.0,7100000.0,,шоссе Косинское,7,Ольгино,Новоград Павлино
ID 97308249,realtor,https://balashikha.cian.ru/sale/flat/290746461/,Балашиха,sale,flat,7,17,2,55.0,11325600.0,,Молодежная ,11,Салтыковская,
ВАШ ДОМ,real_estate_agent,https://balashikha.cian.ru/sale/flat/304163269/,Балашиха,sale,flat,3,21,1,34.6,5500000.0,, Граничная,38,Ольгино,
ФСК Агент,real_estate_agent,https://balashikha.cian.ru/sale/flat/305684832/,Балашиха,sale,flat,1,17,1,37.8,5038400.0,, Лесопарковая,18,Железнодорожная,
Галина Кадочникова,realtor,https://balashikha.cian.ru/sale/flat/308513465/,Балашиха,sale,flat,9,18,2,71.2,14000000.0,, Флерова,4А,Салтыковская,
АЯКС,real_estate_agent,https://balashikha.cian.ru/sale/flat/304586889/,Балашиха,sale,flat,12,25,1,36.0,5499000.0,,Балашихинское шоссе,8к2,Щёлковская,
Этажи Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/306325539/,Балашиха,sale,flat,5,14,2,64.9,10900000.0,,проспект Ленина,32а,Салтыковская,
CENTURY 21 Aurum,real_estate_agent,https://balashikha.cian.ru/sale/flat/307593008/,Балашиха,sale,flat,1,5,1,28.5,4250000.0,, Быковского,6,Салтыковская,
На Петровке,real_estate_agent,https://balashikha.cian.ru/sale/flat/308426683/,Балашиха,sale,flat,21,24,1,45.4,8000000.0,, Кольцевая,3к3,Щёлковская,Щитниково Янтарный
Кремлёвские Ключи,real_estate_agent,https://balashikha.cian.ru/sale/flat/303552410/,Балашиха,sale,flat,14,17,1,31.1,5600000.0,, Лукино,51А,Щёлковская,
МИРА,real_estate_agent,https://balashikha.cian.ru/sale/flat/308259060/,Балашиха,sale,flat,5,21,1,38.0,5299999.0,, Бояринова,15,Ольгино,Новоград Павлино
ID 224783,realtor,https://balashikha.cian.ru/sale/flat/306451526/,Балашиха,sale,flat,16,25,1,48.0,8000000.0,, Строителей,3,Салтыковская,Новое Измайлово
EstateLiga,real_estate_agent,https://balashikha.cian.ru/sale/flat/308497528/,Балашиха,sale,flat,1,5,2,46.0,5350000.0,, Пролетарская,46,Железнодорожная,
МИЭЛЬ,real_estate_agent,https://balashikha.cian.ru/sale/flat/306401452/,Балашиха,sale,flat,2,5,2,45.2,5250000.0,,шоссе Энтузиастов,37,Салтыковская,
Самолет Плюс Москва ЦАО,real_estate_agent,https://balashikha.cian.ru/sale/flat/308457840/,Балашиха,sale,flat,14,17,2,58.0,11500000.0,,,29,Щёлковская,
Ирина Кузнецова,realtor,https://balashikha.cian.ru/sale/flat/307344432/,Балашиха,sale,flat,15,25,1,48.0,5750000.0,, Дмитриева,20,Щёлковская,Алексеевская роща
ID 95919270,realtor,https://balashikha.cian.ru/sale/flat/298804317/,Балашиха,sale,flat,2,13,2,57.66,8919058.0,, Дмитриева,10,Щёлковская,Алексеевская роща
МГСН-Центр оформления,real_estate_agent,https://balashikha.cian.ru/sale/flat/307474640/,Балашиха,sale,flat,3,9,1,32.5,5150000.0,,,8,Щёлковская,
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/308704037/,Балашиха,sale,flat,1,5,2,43.5,5850000.0,,шоссе Носовихинское,7,Ольгино,
ID 108642995,homeowner,https://balashikha.cian.ru/sale/flat/308454882/,Балашиха,sale,flat,10,17,1,36.4,5800000.0,, Твардовского,12,Кучино,
ИНКОМ-Недвижимость,real_estate_agent,https://balashikha.cian.ru/sale/flat/305872751/,Балашиха,sale,flat,14,17,1,38.0,5450000.0,, Юбилейная,32,Железнодорожная,
ID 9852850,homeowner,https://balashikha.cian.ru/sale/flat/284974400/,Балашиха,sale,flat,14,25,2,67.2,11900000.0,,проспект Героев,1,Железнодорожная,
Руслана Ерошенко,realtor,https://balashikha.cian.ru/sale/flat/299096497/,Балашиха,sale,flat,10,16,1,39.0,5600000.0,, Центральная,10,Кучино,
ID 101015717,homeowner,https://balashikha.cian.ru/sale/flat/308262796/,Балашиха,sale,flat,24,25,2,65.0,9500000.0,,бульвар Горенский,5,Салтыковская,Новое Измайлово
Анжела Сенаторова,realtor,https://balashikha.cian.ru/sale/flat/308367235/,Балашиха,sale,flat,3,5,1,30.3,4750000.0,,шоссе Саввинское,21,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651307/,Балашиха,sale,flat,12,17,1,36.03,7567181.0,,,к8,Щёлковская,Квартал Авиаторов ЖК
Недвижимость на Советской,real_estate_agent,https://balashikha.cian.ru/sale/flat/308543830/,Балашиха,sale,flat,5,25,1,44.0,5800000.0,, Чистопольская,28,Щёлковская,Эдельвейс-Комфорт
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305431062/,Балашиха,sale,flat,11,17,1,48.3,7936540.0,, Поликахина,2,Лухмановская,Центр-2
ID 54116572,homeowner,https://balashikha.cian.ru/sale/flat/305380727/,Балашиха,sale,flat,20,25,1,41.0,7100000.0,, Демин луг,6/5,Салтыковская,Новое Измайлово
ИНКОМ-Недвижимость,real_estate_agent,https://balashikha.cian.ru/sale/flat/308254155/,Балашиха,sale,flat,15,23,1,33.1,5100000.0,,,4К1,Щёлковская,Микрорайон 
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651033/,Балашиха,sale,flat,8,22,2,61.3,10909914.0,, Бояринова,30,Ольгино,Новоград Павлино
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/308047943/,Балашиха,sale,flat,1,4,2,43.4,6100000.0,,Зеленая ,28,Щёлковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912683/,Балашиха,sale,flat,11,17,2,52.57,8883068.0,,,к2,Салтыковская,Квартал Авиаторов ЖК
ID 117797721,homeowner,https://balashikha.cian.ru/sale/flat/308503197/,Балашиха,sale,flat,1,5,2,44.8,5150000.0,, Юлиуса Фучика,4к5,Кучино,
МИЭЛЬ - Офис в Железнодорожном,real_estate_agent,https://balashikha.cian.ru/sale/flat/307720978/,Балашиха,sale,flat,4,5,2,42.8,5800000.0,, Заводская,4,Ольгино,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912698/,Балашиха,sale,flat,2,12,1,34.63,5772508.0,,,к2,Салтыковская,Квартал Авиаторов ЖК
ID 119991554,homeowner,https://balashikha.cian.ru/sale/flat/305548950/,Балашиха,sale,flat,3,17,2,77.6,10500000.0,,Заречная ,32,Щёлковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912700/,Балашиха,sale,flat,15,17,1,32.86,5563067.0,,,к2,Салтыковская,Квартал Авиаторов ЖК
ГОРОДА,real_estate_agent,https://balashikha.cian.ru/sale/flat/308892981/,Балашиха,sale,flat,10,17,1,36.4,5900000.0,, Твардовского,12,Кучино,
ID 53459602,homeowner,https://balashikha.cian.ru/sale/flat/308900995/,Балашиха,sale,flat,11,17,1,39.0,8500000.0,, Смельчак,17,Кучино,Северное Кучино
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912746/,Балашиха,sale,flat,15,17,1,36.46,6011671.0,,,к3,Салтыковская,Квартал Авиаторов ЖК
ГОРОДА,real_estate_agent,https://balashikha.cian.ru/sale/flat/308907629/,Балашиха,sale,flat,2,23,2,61.0,10150000.0,, Романычева,3,Кучино,Новоград Павлино
Триумфальная Арка,real_estate_agent,https://balashikha.cian.ru/sale/flat/308112102/,Балашиха,sale,flat,3,14,1,38.5,5200000.0,,,39,Ольгино,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912635/,Балашиха,sale,flat,22,24,2,56.07,8991217.0,,,,Салтыковская,Квартал Авиаторов ЖК
ГОРОДА,real_estate_agent,https://balashikha.cian.ru/sale/flat/308904831/,Балашиха,sale,flat,4,21,1,45.9,6500000.0,,Московский проезд,13,Салтыковская,"Балашиха, мкр. 25"
Наталья Андреева,realtor,https://balashikha.cian.ru/sale/flat/307832711/,Балашиха,sale,flat,5,9,1,33.0,4600000.0,,Первомайская ,3,Салтыковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912650/,Балашиха,sale,flat,23,24,1,48.54,7854160.0,,,,Салтыковская,Квартал Авиаторов ЖК
ГОРОДА,real_estate_agent,https://balashikha.cian.ru/sale/flat/308904838/,Балашиха,sale,flat,1,5,2,44.8,5150000.0,, Юлиуса Фучика,4к5,Кучино,
Александр Фефелов,realtor,https://balashikha.cian.ru/sale/flat/301809762/,Балашиха,sale,flat,15,17,1,31.8,5700000.0,, Яганова,3,Щёлковская,Пехра
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912630/,Балашиха,sale,flat,23,24,2,61.29,9798739.0,,,,Салтыковская,Квартал Авиаторов ЖК
ГОРОДА,real_estate_agent,https://balashikha.cian.ru/sale/flat/308941879/,Балашиха,sale,flat,4,4,2,36.0,7100000.0,,Советская ,2А,Салтыковская,
Первое агентство,real_estate_agent,https://balashikha.cian.ru/sale/flat/308910975/,Балашиха,sale,flat,4,5,1,29.3,4000000.0,,Леоновское шоссе,1,Кучино,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912654/,Балашиха,sale,flat,18,24,2,53.79,7715409.0,,,,Салтыковская,Квартал Авиаторов ЖК
Национальная Фабрика Ипотеки,real_estate_agent,https://balashikha.cian.ru/sale/flat/293964912/,Балашиха,sale,flat,1,5,2,41.4,5350000.0,, Колхозная,3,Железнодорожная,
